From_id,To_id,Type
1,2,Have
1,3,Have
1,4,Have
1,5,Have
1,6,Have
2,7,Have
2,8,Have
2,9,Have
2,10,Have
2,11,Have
3,7,Have
3,8,Have
3,9,Have
3,10,Have
3,11,Have
3,12,Have
4,7,Have
4,8,Have
4,11,Have
5,7,Have
5,8,Have
5,11,Have
6,7,Have
6,8,Have
6,9,Have
6,10,Have
6,11,Have
6,12,Have
7,13,Have
8,14,Have
9,15,Have
10,16,Have
13,17,Have
14,18,Have
15,19,Have
16,20,Have
13,21,Indexed_By
13,22,Indexed_By
13,23,Indexed_By
13,24,Indexed_By
13,25,Indexed_By
13,26,Indexed_By
14,27,Indexed_By
14,28,Indexed_By
14,29,Indexed_By
14,30,Indexed_By
14,31,Indexed_By
14,32,Indexed_By
15,33,Indexed_By
15,34,Indexed_By
15,35,Indexed_By
15,36,Indexed_By
15,37,Indexed_By
15,38,Indexed_By
16,39,Indexed_By
16,40,Indexed_By
16,41,Indexed_By
16,42,Indexed_By
16,43,Indexed_By
16,44,Indexed_By
14,59,Unknowned
14,60,Unknowned
14,61,Unknowned
15,62,Unknowned
58,63,Unknowned
58,64,Unknowned
45,51,Unknowned
46,52,Unknowned
47,53,Unknowned
48,54,Unknowned
49,55,Unknowned
50,55,Unknowned
57,58,Have
2,57,Have
3,57,Have
4,57,Have
5,57,Have
6,57,Have
49,56,Unknowned
59,45,Unknowned
60,46,Unknowned
61,47,Unknowned
62,48,Unknowned
63,49,Unknowned
64,50,Unknowned
